y,x,shift,latitude,offense,address,method,longitude,severity
140608,401345,DAY,38.93336051740860,THEFT F/AUTO,3500 - 3599 BLOCK OF 15TH STREET NE,OTHERS,-76.98447863266690,1
140752,393784,DAY,38.93463824153120,THEFT F/AUTO,3600 - 3699 BLOCK OF NEWARK STREET NW,OTHERS,-77.07169406692350,1
143432,397756,DAY,38.95879469149340,MOTOR VEHICLE THEFT,5700  - 5719 BLOCK OF 9TH STREET NW,OTHERS,-77.02588022054020,1
136104,401014,DAY,38.89278725894090,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF 13TH STREET NE,OTHERS,-76.98831019553720,1
137620,397746,DAY,38.90644137603230,THEFT F/AUTO,1200 - 1299 BLOCK OF 10TH STREET NW,OTHERS,-77.02598331951060,1
138058.75999755,396661.95001086,DAY,38.91038475255130,THEFT F/AUTO,CHURCH STREET NW AND 17TH STREET NW,OTHERS,-77.03848728802330,1
139415,404166,DAY,38.92260677906590,THEFT/OTHER,2500 - 2517 BLOCK OF HURSTON LANE NE,OTHERS,-76.95194782744020,1.2
142972,397706,DAY,38.95465067173340,ASSAULT W/DANGEROUS WEAPON,5300  - 5399 BLOCK OF ILLINOIS AVENUE NW,KNIFE,-77.02645545215360,3
137666,396231,DAY,38.90685030107430,THEFT/OTHER,1220 - 1299 BLOCK OF 19TH STREET NW,OTHERS,-77.04344632401270,1.2
143540,397376,DAY,38.95976607930590,THEFT/OTHER,5729  - 5799 BLOCK OF COLORADO AVENUE NW,OTHERS,-77.03026853685920,1.2
137255,396559,DAY,38.90314416825080,THEFT/OTHER,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,OTHERS,-77.03966714857320,1.2
138221,399110,DAY,38.91185939380970,THEFT F/AUTO,1 - 99 BLOCK OF QUINCY PLACE NW,OTHERS,-77.01025419226240,1
136808,398098,DAY,38.89913003848190,THEFT/OTHER,700 - 799 BLOCK OF 7TH STREET NW,OTHERS,-77.02191655674080,1.2
137847,396523,DAY,38.90847777922750,BURGLARY,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,OTHERS,-77.040085870881,1.5
136994,406321,DAY,38.90078508653410,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF 51ST STREET NE,OTHERS,-76.92712762548740,1
140699,396294,DAY,38.93417074209020,THEFT F/AUTO,1800 - 1899 BLOCK OF NEWTON STREET NW,OTHERS,-77.04273842332030,1
137709,397700,DAY,38.90723831589510,THEFT/OTHER,1000 - 1099 BLOCK OF N STREET NW,OTHERS,-77.02651188524390,1.2
137847,396523,DAY,38.90847777922750,BURGLARY,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,OTHERS,-77.040085870881,1.5
131197,399943,DAY,38.84858005062240,THEFT/OTHER,400 - 538 BLOCK OF LEBAUM STREET SE,OTHERS,-77.00065263878550,1.2
137319,399351,DAY,38.90373191580670,THEFT/OTHER,2 - 99 BLOCK OF L STREET NE,OTHERS,-77.00747595311530,1.2
137709,396522,DAY,38.90724183229940,BURGLARY,1700 - 1799 BLOCK OF N STREET NW,OTHERS,-77.04009105625590,1.5
143104,398068,MIDNIGHT,38.95584297328650,SEX ABUSE,5400  - 5499 BLOCK OF 7TH STREET NW,OTHERS,-77.02228991811330,1
135921,405327,DAY,38.89112552881680,ROBBERY,4400 - 4499 BLOCK OF BENNING ROAD NE,OTHERS,-76.93858600061220,1.2
137783,397746,DAY,38.90790577221640,THEFT/OTHER,1300 - 1399 BLOCK OF 10TH STREET NW,OTHERS,-77.02598662004310,1.2
133631,405371,DAY,38.87049332785560,ROBBERY,4298 - 4313 BLOCK OF SOUTHERN AVENUE SE,GUN,-76.93809986191340,1.2
139902,398011,DAY,38.92699461327050,THEFT/OTHER,2822 - 2899 BLOCK OF GEORGIA AVENUE NW,OTHERS,-77.02292972206980,1.2
137046,405127,DAY,38.90213333678830,THEFT/OTHER,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,OTHERS,-76.94310331993130,1.2
139069,398100,DAY,38.919491059808,ROBBERY,2200 - 2299 BLOCK OF GEORGIA AVENUE NW,GUN,-77.02190090454240,1.2
140371,398793,DAY,38.931227064178,THEFT/OTHER,52 - 113 BLOCK OF IRVING STREET NW,GUN,-77.01391242835650,1.2
137601.24662113,398945.26444497,DAY,38.90626902024750,THEFT/OTHER,NEW YORK AVENUE NW AND 1ST STREET NW,OTHERS,-77.01216026357420,1.2
137538.44,397216.27,DAY,38.90569946104990,THEFT/OTHER,1300 - 1499 BLOCK OF MASSACHUSETTS AVENUE NW,OTHERS,-77.03209394113690,1.2
139677,401329,DAY,38.92496932649560,THEFT F/AUTO,1400 - 1499 BLOCK OF RHODE ISLAND AVENUE NE,OTHERS,-76.98467332301720,1
137137.45148469,397919.15382002,DAY,38.902089160436,THEFT F/AUTO,NEW YORK AVENUE NW AND K STREET NW,OTHERS,-77.02398909886770,1
132522.9515444120,401079.7559989550,EVENING,38.86052175494860,ROBBERY,1400 - 1446 BLOCK OF BANGOR STREET SE,GUN,-76.98755924956340,1.2
131878,401315,DAY,38.85471951966620,BURGLARY,2330 - 2399 BLOCK OF ELVANS ROAD SE,OTHERS,-76.98483869126710,1.5
137254,396230,EVENING,38.90313444181870,THEFT/OTHER,1000 - 1099 BLOCK OF 19TH STREET NW,OTHERS,-77.043458125784,1.2
136225,405462,DAY,38.89385914433820,THEFT/OTHER,4400 - 4699 BLOCK OF CLAY STREET NE,OTHERS,-76.93703572598530,1.2
134756,406004,DAY,38.88062163208680,BURGLARY,4953 - 5099 BLOCK OF G STREET SE,OTHERS,-76.93079602977490,1.5
140993,393854,EVENING,38.93681009722540,THEFT F/AUTO,3500 - 3599 BLOCK OF 36TH STREET NW,OTHERS,-77.07088309341420,1
138593,396387,EVENING,38.91520429693440,THEFT/OTHER,1818 - 1899 BLOCK OF 18TH STREET NW,OTHERS,-77.04165908859750,1.2
